hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,value,NSE_1H,NSE_1D
256,0.17428422065041005,69,124,1,96,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8285348057746886,0.8182626962661743,0.8525030612945557
64,0.16548447522861662,118,221,1,96,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8269634485244751,0.8437934517860413,0.787693440914154
64,0.48931895225374106,116,220,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7853769063949585,0.7937586307525635,0.7658195495605469
256,0.22672366364329022,90,131,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8289372622966766,0.8310523629188538,0.8240020275115967
64,0.29640755222994863,117,220,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7624833941459656,0.7838469743728638,0.7126350402832031
64,0.4976745427018333,87,301,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7763718068599701,0.8069102764129639,0.7051153779029846
256,0.2505486070601536,101,248,1,32,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7986984610557555,0.8196378946304321,0.7498397827148438
256,0.14129719206697122,101,250,1,32,128,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7767237246036529,0.8244897723197937,0.6652696132659912
256,0.15962856216360755,71,227,1,96,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8818003058433532,0.8903875946998596,0.8617632985115051
256,0.48411860430518827,89,218,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8560117304325103,0.8841345310211182,0.7903918623924255
256,0.2532237755252622,87,250,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8536834955215453,0.8643020391464233,0.8289068937301636
256,0.24712655344167178,88,254,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.859840852022171,0.8700745701789856,0.835962176322937
256,0.1807147790639422,87,300,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8421085894107818,0.8514755964279175,0.8202522397041321
256,0.2544941792957645,84,252,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8394584417343139,0.846843421459198,0.8222268223762512
